,ID,Structure,Control,Exhaustion,Disconnection,Gender
142,186,6.625,1.25,1.6,1.083333333,Male
143,10,4.142857143,5,1.4,1.75,Female
144,11,6,5,1.4,1.416666667,Female
145,53,4.875,3.5,1.4,2.416666667,Female
146,72,6,3.25,1.4,2.083333333,Female
147,92,4.375,2.75,1.4,2.416666667,Female
148,139,5.75,2,1.4,1.833333333,Female
149,150,4.875,1.75,1.4,1.72,Male
150,158,5.5,1.75,1.4,1,Male
151,161,5.75,1.75,1.4,2.25,Male
152,162,6.125,1.75,1.4,1.916666667,Male
153,168,5,1.5,1.4,2.444444444,Male
154,195,5.375,1,1.4,1.5,Male
155,207,6.125,1,1.4,3.333333333,Male
156,17,3.833333333,4.5,1.2,2.083333333,Female
157,25,4.75,4.25,1.2,2.5,Female
158,28,6.125,4.25,1.2,1.75,Female
159,48,6,3.75,1.2,1,Female
160,55,5.25,3.5,1.2,3.666666667,Female
161,87,5.5,3,1.2,5,Female
162,109,5.5,2.5,1.2,3.083333333,Female
163,115,6.375,2.5,1.2,1.416666667,Female
164,125,5.875,2.25,1.2,2.75,Male
165,132,4.75,2,1.2,1.75,Male
166,137,5.5,2,1.2,3.333333333,Male
167,164,6.375,1.75,1.2,1.666666667,Male
168,165,5,1.666666667,1.2,1.75,Male
169,167,4.875,1.5,1.2,2,Male
170,171,5.285714286,1.5,1.2,1.5,Male
171,203,5.75,1,1.2,1.75,Male
172,8,5,5.25,1,3.083333333,Female
173,12,3.25,4.75,1,4.916666667,Female
174,13,4.125,4.75,1,4,Female
175,15,5.75,4.75,1,5.5,Female
176,18,3.875,4.5,1,1,Female
177,31,3.75,4,1,1.166666667,Female
178,35,4.375,4,1,4.166666667,Female
179,42,3.375,3.75,1,2.333333333,Female
180,45,4.625,3.75,1,1.861111111,Female
181,49,3.625,3.5,1,1.833333333,Female
182,59,3.25,3.25,1,4.194444444,Female
183,69,5.25,3.25,1,2.083333333,Female
184,71,5.75,3.25,1,1.694444444,Female
185,77,4.125,3,1,2.416666667,Female
186,85,5.25,3,1,3.666666667,Female
187,95,4.75,2.75,1,2.333333333,Female
188,110,5.75,2.5,1,1,Female
189,116,6.5,2.5,1,1.25,Female
190,119,5,2.25,1,1.083333333,Female
191,120,5.125,2.25,1,3.416666667,Male
192,129,6.142857143,2.25,1,1,Male
193,130,6.857142857,2.25,1,2.166666667,Male
194,131,4.142857143,2,1,1.666666667,Male
195,133,5.125,2,1,1,Male
196,144,6,2,1,1,Male
197,149,4.857142857,1.75,1,3.583333333,Male
198,166,5.25,1.666666667,1,3.166666667,Male
199,172,5.285714286,1.5,1,1.583333333,Male
200,173,5.375,1.5,1,1.5,Male
201,176,6.375,1.5,1,1.25,Male
202,177,6.625,1.5,1,1.666666667,Male
203,178,6.625,1.5,1,1.333333333,Male
204,185,6.375,1.25,1,1.916666667,Male
205,190,4.75,1,1,3.888888889,Male
206,196,5.375,1,1,1.25,Male
207,201,5.625,1,1,1,Male
208,204,5.75,1,1,2.25,Male
209,209,6.625,1,1,1,Male
210,210,6.625,1,1,1.5,Male
211,212,7,1,1,4.166666667,Male
212,213,7,1,1,1,Male
